@relation Suporte_Tecnico_Chatbot

@attribute respostas_incorretas integer
@attribute tempo_resposta numeric
@attribute repeticoes integer
@attribute avaliacao_usuario integer
@attribute mensagens_totais integer
@attribute comunicabilidade {Boa, Regular, Ruim}

@data
1,2.35,0,5,12,Boa
2,1.05,1,4,8,Boa
0,2.99,0,5,20,Boa
1,1.52,1,4,15,Boa
2,2.78,2,5,9,Boa
0,1.11,0,4,18,Boa
1,2.01,1,5,7,Boa
2,1.90,0,4,14,Boa
0,2.50,1,5,10,Boa
1,1.75,0,4,17,Boa
2,2.15,1,5,13,Boa
0,1.88,2,4,11,Boa
1,2.67,0,5,19,Boa
2,1.34,1,4,6,Boa
0,2.44,1,5,22,Boa
1,1.21,0,4,25,Boa
2,2.85,1,5,5,Boa
0,1.60,2,4,21,Boa
1,2.92,0,5,16,Boa
2,1.48,1,4,23,Boa
0,2.07,0,5,11,Boa
1,2.55,1,4,18,Boa
2,1.20,2,5,9,Boa
0,2.80,0,4,15,Boa
1,1.65,1,5,12,Boa
2,2.30,0,4,8,Boa
0,1.95,1,5,20,Boa
1,2.41,2,4,14,Boa
2,1.70,0,5,7,Boa
0,2.22,1,1,10,Ruim
6,5.01,3,3,15,Ruim
8,7.88,2,2,25,Ruim
5,4.50,1,1,9,Ruim
7,6.32,0,2,18,Ruim
8,4.15,3,1,13,Ruim
5,5.90,2,2,20,Ruim
7,7.05,1,1,7,Ruim
6,4.88,0,2,16,Ruim
8,5.44,3,1,23,Ruim
5,6.80,2,2,11,Ruim
7,4.31,1,1,19,Ruim
6,5.75,0,2,6,Ruim
8,7.12,3,1,21,Ruim
5,4.99,2,2,14,Ruim
7,6.55,1,1,22,Ruim
6,5.20,0,2,17,Ruim
8,7.35,3,1,12,Ruim
5,4.60,2,2,24,Ruim
7,6.01,1,1,8,Ruim
6,5.55,0,2,10,Ruim
8,7.50,3,1,15,Ruim
5,4.25,2,2,25,Ruim
7,6.70,1,1,9,Ruim
6,5.10,0,2,18,Ruim
8,7.21,3,1,13,Ruim
5,4.75,2,2,20,Ruim
3,4.55,1,3,17,Regular
4,5.80,2,4,9,Regular
3,3.50,0,3,21,Regular
4,6.10,3,5,11,Regular
3,7.02,1,3,14,Regular
4,4.25,2,4,23,Regular
3,5.15,0,3,8,Regular
4,6.90,3,5,18,Regular
3,4.85,1,3,13,Regular
4,5.30,2,4,20,Regular
3,7.60,0,3,7,Regular
